territorycode,netivcamt,standardized
East,18.39,-0.313003868
East,18.4,-0.31300106
East,18.49,-0.312975782
East,18.5,-0.312972974
East,18.6,-0.312944888
East,18.7,-0.312916802
East,18.8,-0.312888715
East,18.81,-0.312885907
East,18.9,-0.312860629
East,19,-0.312832543
East,19.1,-0.312804457
East,19.12,-0.31279884
East,19.15,-0.312790414
East,19.2,-0.312776371
East,19.25,-0.312762328
East,19.29,-0.312751094
East,19.3,-0.312748285
East,19.32,-0.312742668
East,19.35,-0.312734242
East,19.36,-0.312731433
East,19.47,-0.312700539
East,19.5,-0.312692113
East,19.55,-0.31267807
East,19.58,-0.312669644
East,19.6,-0.312664027
East,19.7,-0.312635941
East,19.74,-0.312624706
East,19.8,-0.312607855
East,19.95,-0.312565725
East,20,-0.312551682
East,20.08,-0.312529213
East,20.1,-0.312523596
East,20.13,-0.31251517
East,20.15,-0.312509553
East,20.16,-0.312506745
East,20.2,-0.31249551
East,20.24,-0.312484276
East,20.3,-0.312467424
East,20.36,-0.312450572
East,20.38,-0.312444955
East,20.4,-0.312439338
East,20.5,-0.312411252
East,20.51,-0.312408443
East,20.55,-0.312397209
East,20.58,-0.312388783
East,20.6,-0.312383166
East,20.68,-0.312360697
East,20.7,-0.31235508
East,20.74,-0.312343845
East,20.75,-0.312341037
East,20.76,-0.312338228
East,20.8,-0.312326994
East,20.9,-0.312298908
East,20.92,-0.31229329
East,21,-0.312270821
East,21.1,-0.312242735
East,21.12,-0.312237118
East,21.2,-0.312214649
East,21.22,-0.312209032
East,21.23,-0.312206223
East,21.3,-0.312186563
East,21.45,-0.312144434
East,21.5,-0.312130391
East,21.64,-0.31209107
East,21.68,-0.312079836
East,21.78,-0.31205175
East,21.9,-0.312018047
East,21.93,-0.312009621
East,21.99,-0.311992769
East,22,-0.311989961
East,22.02,-0.311984343
East,22.1,-0.311961874
East,22.11,-0.311959066
East,22.2,-0.311933788
East,22.3,-0.311905702
East,22.37,-0.311886042
East,22.4,-0.311877616
East,22.44,-0.311866382
East,22.5,-0.31184953
East,22.55,-0.311835487
East,22.6,-0.311821444
East,22.66,-0.311804592
East,22.68,-0.311798975
East,22.77,-0.311773698
East,22.8,-0.311765272
East,22.88,-0.311742803
East,22.92,-0.311731569
East,23,-0.3117091
East,23.04,-0.311697865
East,23.1,-0.311681014
East,23.11,-0.311678205
East,23.2,-0.311652927
East,23.21,-0.311650119
East,23.24,-0.311641693
East,23.28,-0.311630459
East,23.32,-0.311619224
East,23.4,-0.311596755
East,23.43,-0.311588329
East,23.44,-0.311585521
East,23.5,-0.311568669
East,23.6,-0.311540583
East,23.64,-0.311529349
East,23.65,-0.31152654
East,23.67,-0.311520923
East,23.7,-0.311512497
East,23.8,-0.311484411
East,23.9,-0.311456325
East,24,-0.311428239
East,24.1,-0.311400153
East,24.2,-0.311372067
East,24.3,-0.31134398
East,24.36,-0.311327129
East,24.38,-0.311321512
East,24.4,-0.311315894
East,24.42,-0.311310277
East,24.48,-0.311293426
East,24.5,-0.311287808
East,24.6,-0.311259722
East,24.64,-0.311248488
East,24.75,-0.311217593
East,24.77,-0.311211976
East,24.8,-0.31120355
East,25,-0.311147378
East,25.08,-0.311124909
East,25.1,-0.311119292
East,25.12,-0.311113675
East,25.2,-0.311091206
East,25.3,-0.31106312
East,25.4,-0.311035033
East,25.48,-0.311012565
East,25.5,-0.311006947
East,25.6,-0.310978861
East,25.74,-0.310939541
East,25.76,-0.310933924
East,25.8,-0.310922689
East,25.82,-0.310917072
East,25.83,-0.310914263
East,25.85,-0.310908646
East,25.89,-0.310897412
East,25.92,-0.310888986
East,26,-0.310866517
East,26.01,-0.310863708
East,26.07,-0.310846857
East,26.2,-0.310810345
East,26.26,-0.310793493
East,26.4,-0.310754173
East,26.48,-0.310731704
East,26.5,-0.310726086
East,26.51,-0.310723278
East,26.6,-0.310698
East,26.7,-0.310669914
East,26.78,-0.310647445
East,26.8,-0.310641828
East,26.85,-0.310627785
East,26.88,-0.310619359
East,27,-0.310585656
East,27.06,-0.310568804
East,27.2,-0.310529484
East,27.22,-0.310523867
East,27.28,-0.310507015
East,27.3,-0.310501398
East,27.36,-0.310484546
East,27.4,-0.310473312
East,27.5,-0.310445226
East,27.54,-0.310433991
East,27.6,-0.31041714
East,27.64,-0.310405905
East,27.65,-0.310403096
East,27.7,-0.310389053
East,27.72,-0.310383436
East,27.76,-0.310372202
East,27.8,-0.310360967
East,27.82,-0.31035535
East,27.83,-0.310352541
East,27.85,-0.310346924
East,27.88,-0.310338498
East,27.9,-0.310332881
East,27.91,-0.310330073
East,27.94,-0.310321647
East,28,-0.310304795
East,28.1,-0.310276709
East,28.13,-0.310268283
East,28.14,-0.310265475
East,28.16,-0.310259857
East,28.2,-0.310248623
East,28.4,-0.310192451
East,28.44,-0.310181216
East,28.49,-0.310167173
East,28.5,-0.310164365
East,28.56,-0.310147513
East,28.6,-0.310136279
East,28.7,-0.310108193
East,28.72,-0.310102575
East,28.8,-0.310080106
East,28.82,-0.310074489
East,28.9,-0.31005202
East,29,-0.310023934
East,29.04,-0.3100127
East,29.1,-0.309995848
East,29.18,-0.309973379
East,29.26,-0.30995091
East,29.3,-0.309939676
East,29.4,-0.30991159
East,29.44,-0.309900355
East,29.5,-0.309883504
East,29.6,-0.309855418
East,29.7,-0.309827332
East,29.76,-0.30981048
East,29.8,-0.309799246
East,29.84,-0.309788011
East,30,-0.309743073
East,30.1,-0.309714987
East,30.15,-0.309700944
East,30.2,-0.309686901
East,30.31,-0.309656006
East,30.4,-0.309630729
East,30.5,-0.309602643
East,30.6,-0.309574557
East,30.69,-0.309549279
East,30.72,-0.309540853
East,30.8,-0.309518385
East,30.85,-0.309504342
East,30.9,-0.309490299
East,30.92,-0.309484681
East,30.93,-0.309481873
East,30.96,-0.309473447
East,30.98,-0.30946783
East,31,-0.309462212
East,31.08,-0.309439744
East,31.1,-0.309434126
East,31.18,-0.309411657
